enabled,playlist_name,playlist_tvg_id,provider_group,region,source,source_id,notes
1,Детское Кино International,,,,iptvx-noarch,detkinoint-tviksel,verified 2026-08-16
1,Кино 1 international,,,,iptvx-noarch,kino1int-tviksel,verified 2026-08-16
1,Муви ТВ,,,,iptvx-noarch,muvitv,verified 2026-08-16
1,Тайна,,,,iptvx-noarch,tayna,verified 2026-08-16
1,Киносезон,,,,iptvx-noarch,kinosezon,verified 2026-08-16
1,Timeless Dizi Channel,,,,iptvx-noarch,timeless-dizi,verified 2026-08-16
1,Патриот,,,,iptvx-noarch,patriot,verified 2026-08-16
1,Смотрим 100% Праздник,,,,iptvx-noarch,smotrim-100-prazdnik,iptvX ID verified via IPTVru; BCU catalog shows current programme through 2026-08-17; freshness gate required
1,Смотрим 100% Детское,,,,iptvx-noarch,smotrim-100-detskoe,iptvX ID verified via IPTVru; BCU catalog shows current programme through 2026-08-17; freshness gate required
1,Военное кино,,,,iptvx-noarch,voenkino-tviksel,exact iptvX channel/tvg-id verified 2026-08-16; freshness gate required
1,1+1 Кіно,,,,runigma-iptv,1plus1kino-ua,Runigma IPTV catalog + current XMLTV verified 2026-08-16; freshness gate required
1,Окко ТВ H,,,,iptvx-noarch,okko-tv,playlist name appears truncated; Only4 current catalog maps ОККО ТВ HD -> okko-tv; iptvX XMLTV ID verified; freshness gate required
1,Киножелезо HD,,,,iptvx-noarch,okko-tv,"Only4 current catalog explicitly maps КИНОЖЕЛЕЗО HD -> okko-tv with current EPG; iptvX okko-tv XMLTV verified; cross-provider identity, freshness gate required"
1,Киноман,,,,iptvx-noarch,kinosat,Only4 current catalog maps КИНОМАН -> kinosat with current EPG; iptvX Kиносат XMLTV verified; Peers also labels KИНОМАН under KиноСат
1,Смотрим 100% Классика,,,,iptvx-noarch,smotrim-100-klassika,iptvX ID verified via IPTVru; BCU catalog shows current programme through 2026-08-17; freshness gate required
1,Смотрим 100% Любовь,,,,iptvx-noarch,smotrim-100-lubov,iptvX ID verified via IPTVru; BCU catalog shows current programme through 2026-08-17; freshness gate required
1,Смотрим 100% Факты,,,,iptvx-noarch,smotrim-100-fakty,iptvX ID verified via IPTVru; BCU catalog shows current programme through 2026-08-17; freshness gate required
1,Смотрим 100% Мужское,,,,iptvx-noarch,smotrim-100-muzhskoe,iptvX ID verified via IPTVru; BCU catalog shows current programme through 2026-08-17; freshness gate required
1,Kino 2 HD,,,,iptvx-noarch,kino2-tviksel,iptvX exact Кино 2 XMLTV page uses tvg-id kino2-tviksel; SWEET.TV independently carries Kino 2 HD; freshness gate required
1,Magic Premiere,Xmagic-premiere,,,iptvx-noarch,magic-premiere,verified 2026-08-16; TVTEAM tvteam:ch3223; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Adventure,Xmagic-adventure,,,iptvx-noarch,magic-adventure,verified 2026-08-16; iptvX exact ID; EPG.pw also lists channel 7282; use only if freshness gate finds current programmes
1,Magic Russian,Xmagic-russian,,,iptvx-noarch,magic-russian,verified 2026-08-16; iptvX exact ID; EPG.pw channel 7402; use only if freshness gate finds current programmes
1,Magic Action,Xmagic-action,,,iptvx-noarch,magic-action,verified 2026-08-16; TVTEAM tvteam:ch1556; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Comedy,Xmagic-comedy,,,iptvx-noarch,magic-comedy,verified 2026-08-16; TVTEAM tvteam:ch1557; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Family,Xmagic-family,,,iptvx-noarch,magic-family,verified 2026-08-16; TVTEAM tvteam:ch1582; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Galaxy,Xmagic-galaxy,,,iptvx-noarch,magic-galaxy,verified 2026-08-16; TVTEAM tvteam:ch1559; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Horror,Xmagic-horror,,,iptvx-noarch,magic-horror,verified 2026-08-16; TVTEAM tvteam:ch1560; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Karate,Xmagic-karate,,,iptvx-noarch,magic-karate,verified 2026-08-16; TVTEAM tvteam:ch1561; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Love,Xmagic-love,,,iptvx-noarch,magic-love,verified 2026-08-16; TVTEAM tvteam:ch1581; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Thriller,Xmagic-thriller,,,iptvx-noarch,magic-thriller,verified 2026-08-16; TVTEAM tvteam:ch1562; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic VHS,Xmagic-vhs,,,iptvx-noarch,magic-vhs,verified 2026-08-16; TVTEAM tvteam:ch1563; iptvX exact ID; use only if freshness gate finds current programmes
1,Magic Disney,Xmagic-disney,,,iptvx-noarch,magic-disney,verified 2026-08-16; TVTEAM tvteam:ch1558; iptvX exact ID; use only if freshness gate finds current programmes
1,CPS Action,,,,runigma-iptv,cps-action,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Action,,,,openbox-tsd,cps-action,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Anime,,,,runigma-iptv,cps-anime,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Anime,,,,openbox-tsd,cps-anime,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Comedy,,,,runigma-iptv,cps-comedy,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Comedy,,,,openbox-tsd,cps-comedy,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Detective,,,,runigma-iptv,cps-detective,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Detective,,,,openbox-tsd,cps-detective,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Drama,,,,runigma-iptv,cps-drama,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Drama,,,,openbox-tsd,cps-drama,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Fiction,,,,runigma-iptv,cps-fiction,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Fiction,,,,openbox-tsd,cps-fiction,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Fresh,,,,runigma-iptv,cps-fresh,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Fresh,,,,openbox-tsd,cps-fresh,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Jackie Chan,,,,runigma-iptv,cps-jackie-chan,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Jackie Chan,,,,openbox-tsd,cps-jackie-chan,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Mix,,,,runigma-iptv,cps-mix,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Mix,,,,openbox-tsd,cps-mix,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Oscar,,,,runigma-iptv,cps-oscar,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Oscar,,,,openbox-tsd,cps-oscar,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS USSR,,,,runigma-iptv,cps-ussr,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS USSR,,,,openbox-tsd,cps-ussr,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Western,,,,runigma-iptv,cps-western,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Western,,,,openbox-tsd,cps-western,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Fresh UA,,,,runigma-iptv,cps-fresh-ua,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Fresh UA,,,,openbox-tsd,cps-fresh-ua,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Cartoon,,,,runigma-iptv,cps-cartoon,Runigma exact channel ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,CPS Cartoon,,,,openbox-tsd,cps-cartoon,Openbox/t-s-d exact channel ID fallback; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Action HDR,,,,iptvx-noarch,bcu-action,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Comedy OLD,,,,iptvx-noarch,bcu-comedy,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Cosmo HDR,,,,iptvx-noarch,bcu-cosmo,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Fantastic HDR,,,,iptvx-noarch,bcu-fantastic,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU FilMystic HDR,,,,iptvx-noarch,bcu-filmystic,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Premiere HDR,,,,iptvx-noarch,bcu-premiere,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Premiere 1 HDR,,,,iptvx-noarch,bcu-kinozal-prem-1,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Premiere 2 HDR,,,,iptvx-noarch,bcu-kinozal-prem-2,iptvX exact BCU family ID; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Сваты 4K,,,,openbox-tsd,bcu-svati-4k,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Action HDR,,,,openbox-tsd,bcu-action,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
1,BCU Comedy OLD,,,,openbox-tsd,bcu-comedy,Openbox/t-s-d BCU family ID; UTIFY interpreted as playlist typo for UNITY where applicable; verified catalog mapping 2026-08-16; runtime freshness gate required
