enabled,observed_at,playlist_name,observed_title,origin,notes
1,2026-09-04T19:10:00-07:00,BCU VHS HD,Адвокат дьявола,user-live,TV screen observation
1,2026-09-04T19:10:00-07:00,BOX Oscar HD,Аватар,user-live,TV screen observation
1,2026-09-04T19:15:00-07:00,BCU Criminal HDR,Васаби,user-live,TV screen observation
1,2026-09-10T07:33:01.458411+00:00,Insomnia HD,НЕЧТО,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=21.25
1,2026-09-10T08:21:01.414674+00:00,Insomnia HD,ВОЛЧЬЯ ЯМА,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=22.25
1,2026-09-10T08:21:01.414674+00:00,РуКино HD,ЧЕТЫРЕ ВОЗРАСТА ЛЮБВИ,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=24.75
1,2026-09-10T08:21:01.414674+00:00,DITV ФИЛЬМЫ,Свадь,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=16.25
1,2026-09-10T08:21:01.414674+00:00,DITV КОМЕДИИ,Амели (2001),movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=16.25
1,2026-09-10T08:21:01.414674+00:00,MM Honey HD,Большое шоу Акулёнка: Сезон 1 | 1-3 4 / | os,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=23.0
1,2026-09-10T08:21:01.414674+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,Sree | iy Nhs,movie-live-observer,high-confidence OCR; zone=top_band; engine=tesseract; score=12.25
1,2026-09-10T09:22:17.798480+00:00,Thriller HD,РАСПЛАТА,movie-live-observer,high-confidence OCR; zone=top_left; engine=tesseract; score=17.0
1,2026-09-10T09:22:17.798480+00:00,VeleS Киноплёнка,= дыма,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=13.0
1,2026-09-10T09:22:17.798480+00:00,DITV Про акул,Акулий торнадо,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=18.25
1,2026-09-10T09:22:17.798480+00:00,DITV КЛАССИКА ИНДИЙСКОГО КИНО,отныне”,movie-live-observer,high-confidence OCR; zone=left_bottom_tight; engine=tesseract; score=16.5
1,2026-09-10T09:22:17.798480+00:00,MM Honey HD,Цветняшки: Сезон 1 | 1,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=18.5
1,2026-09-10T10:16:43.959916+00:00,Кинолаффка HD,«ТРЕНАЖЕР,movie-live-observer,high-confidence OCR; zone=top_left_tight; engine=tesseract; score=22.0
1,2026-09-10T10:16:43.959916+00:00,DITV Про вампиров,Клыки ночи,movie-live-observer,high-confidence OCR; zone=left_bottom; engine=tesseract; score=17.25
1,2026-09-10T10:16:43.959916+00:00,DITV ФИЛЬМЫ,Горько | = \ \,movie-live-observer,high-confidence OCR; zone=bottom_band; engine=tesseract; score=21.5
