observed_at,playlist_name,observed_title,claimed_correct_channel,source_id,status
2026-08-23,BCU Cinema HD,Джон Картер,BCU Cinema HD,bcu-cinema,verified
2026-08-23,BCU CINEMA+ HD,Сокровище нации 2,BCU Cinema+ HD,bcu-cinemaplus,verified
2026-08-23,BCU MARVEL HDR,Первый мститель: Противостояние (2016),BCU Marvel HDR,bcu-marvel,verified
2026-08-23,BCU COSMO HD,Живое / Life (2017),BCU Cosmo HD,bcu-cosmo,verified
2026-08-23,BCU Media OLD,,BOX Hybrid HD,box-hybrid,verified
2026-08-23,BCU New Media 2,Агенты А.Н.К.Л.,BCU Action HDR,bcu-action,verified
2026-08-23,BCU Premiere 2 HDR,Зверь (2026),,,review
2026-08-23,BCU Premiere 3 HDR,Создатель,BCU Fantastic HDR,,verified_identity_keep_current_epg
2026-08-23,BCU_UTIFY_1_HDR,Без чувств,BCU Comedy HDR,bcu-comedy,verified_epg_do_not_rename
2026-08-23,BCU_UTIFY_2_HD,,BCU Catastrophe HD,bcu-catastrophe,verified
2026-08-23,BCU_UTIFY_3_HD,38-я параллель,BCU History HD,bcu-history,verified
2026-08-23,VeleS С Новым годом!,Ёлки-иголки,VeleS NewYear,veles-newyear,verified
2026-08-23,VeleS Movie Hits,Шоу Трумана,VeleS Movie Hits,veles-mh,verified
