enabled,playlist_name,playlist_tvg_id,provider_group,region,source,source_id,hard_pin,notes
1,KLI СССР HD,Xkliussr,,,runigma-iptv,kli-sssr-hd,1,user-verified live mismatch; force dedicated KLI feed
1,Premium HD,Xpremium-hd,,,openbox-tsd,premium-hd,1,user-verified live: Knight and Day
1,VHS HD,Xvhshd,,,openbox-tsd,vhs-hd,1,user-verified live: Rocky III
1,Thriller HD,Xthriller-hd,,,openbox-tsd,thriller-hd,1,user-verified live: Unknown Origins
1,РуКино HD,Xrukino-hd,,,iptv-online-primary,Xklirussian,1,user-verified live: Сердце Пармы
1,Insomnia HD,Xinsomnia-hd,,,runigma-iptv,insomnia-hd,1,verified replacement for missing openbox mapping
1,Hollywood HD,Xhollywood-hd,,,openbox-tsd,hollywood-hd,1,user-verified live mismatch; force dedicated feed
1,Наше любимое кино,Xnashe-lubimoe-kino-ua,,,iptv-online-primary,Xnashe-lubimoe,1,force Russian schedule
1,BCU Cinema HD,Xbcu-cinema,,,iptvx-noarch,bcu-cinema,1,user live: John Carter
1,BCU CINEMA+ HD,Xbcu-cinemaplus,,,iptvx-noarch,bcu-cinemaplus,1,user live: National Treasure 2
1,BCU MARVEL HDR,,,,iptvx-noarch,bcu-marvel,1,user live: Captain America Civil War 2016
1,BCU Marvel HDR,,,,iptvx-noarch,bcu-marvel,1,name alias
1,BCU Russian HD,,,,iptvx-noarch,bcu-russian,1,verified canonical BCU Russian schedule
1,BCU RUSSIAN HD,,,,iptvx-noarch,bcu-russian,1,name alias
1,BCU COSMO HD,,,,iptvx-noarch,bcu-cosmo,1,user live: Life 2017
1,BCU Cosmo HD,,,,iptvx-noarch,bcu-cosmo,1,name alias
1,BCU Media OLD,,,,iptvx-noarch,box-hybrid,1,user says correct schedule is BOX Hybrid HD; external id verified box-hybrid
1,BCU New Media 2,,,,iptvx-noarch,bcu-action,1,user live Agents of U.N.C.L.E.; correct channel BCU Action HDR
1,BCU_UTIFY_1_HDR,,,,iptvx-noarch,bcu-comedy,1,do NOT rename; user says separate stream but correct EPG is BCU Comedy HDR; live Без чувств
1,BCU_UTIFY_2_HD,,,,iptvx-noarch,bcu-catastrophe,1,user identifies channel as BCU Catastrophe
1,BCU_UTIFY_3_HD,,,,iptvx-noarch,bcu-history,1,user identifies channel as BCU History HD; live 38-я параллель
1,VeleS С Новым годом!,velesyear-new,,,runigma-iptv,veles-newyear,1,user live: Ёлки-иголки
1,VeleS Movie Hits,veles-movie-hits,,,iptvx-noarch,veles-mh,1,user live: Шоу Трумана
1,Fresh Fantastic,Xfresh-fantastic,,,openbox-tsd,fresh-fantastic,1,v13.20 Fresh family recovery
1,Fresh Vhs,Xfresh-vhs,,,openbox-tsd,fresh-vhs,1,v13.20 Fresh family recovery
1,Fresh Rating,Xfresh-rating,,,openbox-tsd,fresh-rating,1,v13.20 Fresh family recovery
1,Fresh Family,Xfresh-family,,,openbox-tsd,fresh-family,1,v13.20 Fresh family recovery
1,Fresh Premiere,Xfresh-premiere,,,openbox-tsd,fresh-premiere,1,v13.20 Fresh family recovery
1,Fresh Comedy,Xfresh-comedy,,,openbox-tsd,fresh-comedy,1,v13.20 Fresh family recovery
1,Fresh Kids,Xfresh-kids,,,openbox-tsd,fresh-kids,1,v13.20 Fresh family recovery
1,Fresh Cinema,Xfresh-cinema,,,openbox-tsd,fresh-cinema,1,v13.20 Fresh family recovery
1,Fresh Horror,Xfresh-horror,,,openbox-tsd,fresh-horror,1,v13.20 Fresh family recovery
1,Fresh Adventure,Xfresh-adventure,,,openbox-tsd,fresh-adventure,1,v13.20 Fresh family recovery
1,Fresh Romantic,Xfresh-romantic,,,openbox-tsd,fresh-romantic,1,v13.20 Fresh family recovery
1,Fresh Russian,Xfresh-russian,,,openbox-tsd,fresh-russian,1,v13.20 Fresh family recovery
1,Fresh Thriller,Xfresh-thriller,,,openbox-tsd,fresh-thriller,1,v13.20 Fresh family recovery
1,Magic Premiere,Xmagic-premiere,,,openbox-tsd,magic-premiere,1,v13.20 Magic family recovery
1,Magic Adventure,Xmagic-adventure,,,openbox-tsd,magic-adventure,1,v13.20 Magic family recovery
1,Magic Russian,Xmagic-russian,,,openbox-tsd,magic-russian,1,v13.20 Magic family recovery
1,Magic Action,Xmagic-action,,,openbox-tsd,magic-action,1,v13.20 Magic family recovery
1,Magic Comedy,Xmagic-comedy,,,openbox-tsd,magic-comedy,1,v13.20 Magic family recovery
1,Magic Family,Xmagic-family,,,openbox-tsd,magic-family,1,v13.20 Magic family recovery
1,Magic Galaxy,Xmagic-galaxy,,,openbox-tsd,magic-galaxy,1,v13.20 Magic family recovery
1,Magic Horror,Xmagic-horror,,,openbox-tsd,magic-horror,1,v13.20 Magic family recovery
1,Magic Karate,Xmagic-karate,,,openbox-tsd,magic-karate,1,v13.20 Magic family recovery
1,Magic Love,Xmagic-love,,,openbox-tsd,magic-love,1,v13.20 Magic family recovery
1,Magic Thriller,Xmagic-thriller,,,openbox-tsd,magic-thriller,1,v13.20 Magic family recovery
1,Magic VHS,Xmagic-vhs,,,openbox-tsd,magic-vhs,1,v13.20 Magic family recovery
1,Magic Disney,Xmagic-disney,,,openbox-tsd,magic-disney,1,v13.20 Magic family recovery
