enabled,playlist_name,playlist_tvg_id,provider_group,region,source,source_id,hard_pin,notes
1,Premium HD,Xpremium-hd,,,premiere-group-dedicated,premium-hd,1,v15 preferred dedicated; live verified
1,Premium HD,Xpremium-hd,,,gabbarit-current,Premium HD,0,v15 historical fallback
1,Premium HD,Xpremium-hd,,,gabbarit-mirror,Premium HD,0,v15 mirror fallback
1,Premiere HD,Xpremiere-hd,,,premiere-group-dedicated,Premiere HD,1,v15 preferred dedicated; SPG-name matcher supported
1,Premiere HD,Xpremiere-hd,,,gabbarit-current,Premiere HD,0,v15 historical working fallback
1,Premiere HD,Xpremiere-hd,,,gabbarit-mirror,Premiere HD,0,v15 mirror fallback
1,USSR HD,Xussr-premieregroup,,,premiere-group-dedicated,USSR HD,1,v15 Premiere Group preferred
1,USSR HD,Xussr-premieregroup,,,gabbarit-current,USSR HD,0,v15 historically verified working fallback
1,USSR HD,Xussr-premieregroup,,,gabbarit-mirror,USSR HD,0,v15 mirror fallback
1,Paradise HD,Xparadise-hd,,,premiere-group-dedicated,Paradise HD,1,v15 Premiere Group preferred
1,Paradise HD,Xparadise-hd,,,gabbarit-current,Paradise HD,0,v15 historical fallback
1,Paradise HD,Xparadise-hd,,,gabbarit-mirror,Paradise HD,0,v15 mirror fallback
1,Paradox HD,Xparadox-hd,,,premiere-group-dedicated,Paradox HD,1,v15 Premiere Group preferred
1,Paradox HD,Xparadox-hd,,,gabbarit-current,Paradox HD,0,v15 historical fallback
1,Paradox HD,Xparadox-hd,,,gabbarit-mirror,Paradox HD,0,v15 mirror fallback
1,4ever Cinema,X4ever-cinema,,,iptvx-noarch,4ever-cinema,1,v15 exact preferred
1,4ever Cinema,X4ever-cinema,,,openbox-tsd,4ever-cinema,0,v15 exact fallback
1,4ever Cinema,X4ever-cinema,,,gabbarit-current,4 ever Cinema,0,v15 verified Gabbarit Cinema fallback id
1,4ever Cinema,X4ever-cinema,,,gabbarit-mirror,4 ever Cinema,0,v15 verified Gabbarit Cinema fallback id
1,4ever Cinema HD,X4ever-cinema,,,iptvx-noarch,4ever-cinema,1,v15 exact preferred
1,4ever Cinema HD,X4ever-cinema,,,openbox-tsd,4ever-cinema,0,v15 exact fallback
1,4ever Cinema HD,X4ever-cinema,,,gabbarit-current,4 ever Cinema,0,v15 verified Gabbarit Cinema fallback id
1,4ever Cinema HD,X4ever-cinema,,,gabbarit-mirror,4 ever Cinema,0,v15 verified Gabbarit Cinema fallback id
1,4ever Drama,X4ever-drama,,,iptvx-noarch,4ever-drama,1,v15 exact preferred
1,4ever Drama,X4ever-drama,,,openbox-tsd,4ever-drama,0,v15 exact fallback
1,4ever Drama,X4ever-drama,,,gabbarit-current,4ever Drama,0,v15 verified Gabbarit Drama fallback id
1,4ever Drama,X4ever-drama,,,gabbarit-mirror,4ever Drama,0,v15 verified Gabbarit Drama fallback id
1,4ever Drama HD,X4ever-drama,,,iptvx-noarch,4ever-drama,1,v15 exact preferred
1,4ever Drama HD,X4ever-drama,,,openbox-tsd,4ever-drama,0,v15 exact fallback
1,4ever Drama HD,X4ever-drama,,,gabbarit-current,4ever Drama,0,v15 verified Gabbarit Drama fallback id
1,4ever Drama HD,X4ever-drama,,,gabbarit-mirror,4ever Drama,0,v15 verified Gabbarit Drama fallback id
1,4ever Theater,X4ever-theater,,,iptvx-noarch,4ever-theater,1,v15 exact preferred
1,4ever Theater,X4ever-theater,,,openbox-tsd,4ever-theater,0,v15 exact fallback
1,4ever Theater,X4ever-theater,,,gabbarit-current,4ever Theater,0,v15 verified Gabbarit Theater fallback id
1,4ever Theater,X4ever-theater,,,gabbarit-mirror,4ever Theater,0,v15 verified Gabbarit Theater fallback id
1,4ever Theater HD,X4ever-theater,,,iptvx-noarch,4ever-theater,1,v15 exact preferred
1,4ever Theater HD,X4ever-theater,,,openbox-tsd,4ever-theater,0,v15 exact fallback
1,4ever Theater HD,X4ever-theater,,,gabbarit-current,4ever Theater,0,v15 verified Gabbarit Theater fallback id
1,4ever Theater HD,X4ever-theater,,,gabbarit-mirror,4ever Theater,0,v15 verified Gabbarit Theater fallback id
1,4ever Music,X4ever-music,,,iptvx-noarch,4ever-music,1,v15 exact preferred
1,4ever Music,X4ever-music,,,openbox-tsd,4ever-music,0,v15 exact fallback
1,4ever Music HD,X4ever-music,,,iptvx-noarch,4ever-music,1,v15 exact preferred
1,4ever Music HD,X4ever-music,,,openbox-tsd,4ever-music,0,v15 exact fallback
