enabled,playlist_name,old_tvg_id,new_tvg_id,reason
1,KLI Action HD,Xkliaction,kli-action-hd,provider collision: KLI Action and KLI Thriller share Xkliaction but have different schedules
1,KLI Thriller HD,Xkliaction,kli-thriller-hd,provider collision: KLI Action and KLI Thriller share Xkliaction but have different schedules
1,KLI СССР HD,Xkliussr,kli-sssr-hd,dedicated KLI output id
1,Premium HD,Xpremium-hd,premium-hd,dedicated Premium output id
1,VHS HD,Xvhshd,vhs-hd,dedicated VHS output id
1,Thriller HD,Xthriller-hd,thriller-hd,dedicated Thriller output id
1,РуКино HD,Xrukino-hd,Xklirussian,verified matching schedule observed under Xklirussian
1,Insomnia HD,Xinsomnia-hd,insomnia-hd,dedicated Insomnia output id
1,Hollywood HD,Xhollywood-hd,hollywood-hd,dedicated Hollywood output id
1,Наше любимое кино,Xnashe-lubimoe-kino-ua,Xnashe-lubimoe,Russian-language schedule
