playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence,accuracy_status,accuracy_reason,evidence_url,quarantine
Дизель Шоу,X6147,X6147,Украинские,UA,iptv-online-primary,X6147,id,99,probable,strong exact match; no country conflict detected,,False
.sci-fi,Xsony-scifi,Xsony-scifi,Кино,,iptv-online-primary,XSCI.FI.HD.pl,name,90,unverified,mapping has not yet been cross-checked against an independent schedule,,False
Epic Drama HD,Xepik-drama,Xepik-drama,Кино,,iptv-online-primary,XEpic.Drama.HD.pl,name,90,unverified,mapping has not yet been cross-checked against an independent schedule,,False
KBC-В.О.В. HD,X39821,X39821,Кинозалы,,iptv-online-primary,X39821,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Comics HD,X39800,X39800,Кинозалы,,iptv-online-primary,X39800,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Elite comedy's HD,X35448,X35448,Кинозалы,,iptv-online-primary,X35448,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Fantastic HD,X39795,X39795,Кинозалы,,iptv-online-primary,X39795,id,99,probable,strong exact match; no country conflict detected,,False
KBC-History HD,X39796,X39796,Кинозалы,,iptv-online-primary,X39796,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Newfilm HD,X39048,X39048,Кинозалы,,iptv-online-primary,X39048,id,99,probable,strong exact match; no country conflict detected,,False
KBC-WAR HD,X42051,X42051,Кинозалы,,iptv-online-primary,X42051,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Russian Комедия HD,X36168,X36168,Кинозалы,,iptv-online-primary,X36168,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Видак HD,X36251,X36251,Кинозалы,,iptv-online-primary,X36251,id,99,probable,strong exact match; no country conflict detected,,False
KBC-ГАЙ Ritchie & Tarantino,X39819,X39819,Кинозалы,,iptv-online-primary,X39819,id,99,probable,strong exact match; no country conflict detected,,False
KBC-ДрамаTic HD,X36732,X36732,Кинозалы,,iptv-online-primary,X36732,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Вестерн HD,X39825,X39825,Кинозалы,,iptv-online-primary,X39825,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Кошмарное HD,X36277,X36277,Кинозалы,,iptv-online-primary,X36277,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Страна СССР,X36506,X36506,Кинозалы,,iptv-online-primary,X36506,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Animals HD,X39823,X39823,Кинозалы,,iptv-online-primary,X39823,id,99,probable,strong exact match; no country conflict detected,,False
KBC-MusKino HD,X39822,X39822,Кинозалы,,iptv-online-primary,X39822,id,99,probable,strong exact match; no country conflict detected,,False
KBC-СпортМикс HD,X35525,X35525,Кинозалы,,iptv-online-primary,X35525,id,99,probable,strong exact match; no country conflict detected,,False
KBC-ГОБЛИН HD,X42054,X42054,Кинозалы,,iptv-online-primary,X42054,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Шпионское HD,X39820,X39820,Кинозалы,,iptv-online-primary,X39820,id,99,probable,strong exact match; no country conflict detected,,False
KBC-АНИМЕ HD,X42053,X42053,Кинозалы,,iptv-online-primary,X42053,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Легендарное HD,X39826,X39826,Кинозалы,,iptv-online-primary,X39826,id,99,probable,strong exact match; no country conflict detected,,False
MM USSR Приключения HD,Xminimax-ussr-prikluchenija,Xminimax-ussr-prikluchenija,Кинозалы,,iptv-online-primary,Xminimax-ussr-prikluchenija,id,99,probable,strong exact match; no country conflict detected,,False
Setanta Sports 2 HD,Xsetanta-sports-plus,Xsetanta-sports-plus,Спорт,,iptv-online-primary,XSetanta Sports 2,name,90,unverified,mapping has not yet been cross-checked against an independent schedule,,False
Viju+ Sport,Xviasat-sport,Xviasat-sport,Спорт,,iptv-online-primary,Xviasat-sport,id,99,probable,strong exact match; no country conflict detected,,False
Viju+ Sport HD,Xviasat-sport,Xviasat-sport,Спорт,,iptv-online-primary,Xviasat-sport,id,99,probable,strong exact match; no country conflict detected,,False
Окко Чемпионат,Xokko-chemp,Xokko-chemp,Спорт,,iptv-online-primary,Xokko-chemp,id,99,probable,strong exact match; no country conflict detected,,False
BOX_SPORT_LIVE_1_HD,Xbox-sportcast-live1,Xbox-sportcast-live1,Спорт,,iptv-online-primary,Xbox-sportcast-live1,id,99,probable,strong exact match; no country conflict detected,,False
Sky Sport Bundesliga HD,Xsky-sport-bl1,Xsky-sport-bl1,Спорт,,iptv-online-primary,Xsky-sport-bl1,id,99,probable,strong exact match; no country conflict detected,,False
BOX SportCast Live 1 HD,Xbox-sportcast-live1,Xbox-sportcast-live1,Спорт,,iptv-online-primary,Xbox-sportcast-live1,id,99,probable,strong exact match; no country conflict detected,,False
Diema Sport HD,Xdiema-sport-1,Xdiema-sport-1,Спорт,,iptv-online-primary,Xdiema-sport-1,id,99,probable,strong exact match; no country conflict detected,,False
Диалоги о рыбалке,Xdialogi-o-rybalke,Xdialogi-o-rybalke,Познавательные,,iptv-online-primary,Xdialogi-o-rybalke,id,99,probable,strong exact match; no country conflict detected,,False
Пёс и Ко,Xpes-i-ko,Xpes-i-ko,Познавательные,,iptv-online-primary,Xpes-i-ko,id,99,probable,strong exact match; no country conflict detected,,False
Duck TV,Xducktv,Xducktv,Детские,,iptv-online-primary,XDuck.TV.HD.ro,name,90,unverified,mapping has not yet been cross-checked against an independent schedule,,False
KBC-Союзмультзал,X39798,X39798,Детские,,iptv-online-primary,X39798,id,99,probable,strong exact match; no country conflict detected,,False
KBC-Family Animation HD,X38589,X38589,Детские,,iptv-online-primary,X38589,id,99,probable,strong exact match; no country conflict detected,,False
Bridge TV hits,Xbridge-tv-dance,Xbridge-tv-dance,Музыкальные,,iptv-online-primary,Xbridge-tv-dance,id,99,probable,strong exact match; no country conflict detected,,False
Bridge TV Rock,Xbridge-tv-rock,Xbridge-tv-rock,Музыкальные,,iptv-online-primary,Xbridge-tv-rock,id,99,probable,strong exact match; no country conflict detected,,False
M1 HD,Xm1-ua,Xm1-ua,Музыкальные,,iptv-online-primary,Xm1.HD.hu,name,90,unverified,mapping has not yet been cross-checked against an independent schedule,,False
M2 HD,Xm2-ua,Xm2-ua,Музыкальные,,iptv-online-primary,Xm2.HD.hu,name,90,unverified,mapping has not yet been cross-checked against an independent schedule,,False
Bridge TV русский хит,Xbridge-tv-ruxit,Xbridge-tv-ruxit,Музыкальные,,iptv-online-primary,Xbridge-tv-ruxit,id,99,probable,strong exact match; no country conflict detected,,False
Stars.TV,Xstars-tv,Xstars-tv,Музыкальные,,iptv-online-primary,Xstars-tv,id,99,probable,strong exact match; no country conflict detected,,False
KBC-НАШ ROCK,X39824,X39824,Музыкальные,,iptv-online-primary,X39824,id,99,probable,strong exact match; no country conflict detected,,False
Vantage Dance,Xvantage-dance,Xvantage-dance,Музыкальные,,iptv-online-primary,Xvantage-dance,id,99,probable,strong exact match; no country conflict detected,,False
Vantage Rock,Xvantage-rock,Xvantage-rock,Музыкальные,,iptv-online-primary,Xvantage-rock,id,99,probable,strong exact match; no country conflict detected,,False
BTV HD,Xbtv,Xbtv,Литва,LT,iptv-online-primary,XbTV.bg,name,90,wrong,explicit XMLTV country BG conflicts with provider region LT,,True
Epic Drama,Xepik-drama,Xepik-drama,Литва,LT,iptv-online-primary,XEpic.Drama.HD.pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region LT,,True
BTV,Xbtv,Xbtv,Латвия,LV,iptv-online-primary,XbTV.bg,name,90,wrong,explicit XMLTV country BG conflicts with provider region LV,,True
RTL UP HD,X76722,X76722,Германия,DE,iptv-online-primary,X76722,id,99,probable,strong exact match; no country conflict detected,,False
RTL Live HD DE,X76673,X76673,Германия,DE,iptv-online-primary,X76673,id,99,probable,strong exact match; no country conflict detected,,False
RTL Crime HD DE,X76700,X76700,Германия,DE,iptv-online-primary,X76700,id,99,probable,strong exact match; no country conflict detected,,False
RTL Passion HD,X76804,X76804,Германия,DE,iptv-online-primary,X76804,id,99,probable,strong exact match; no country conflict detected,,False
Sky Sport Bundesliga HD,Xsky-sport-bl1,Xsky-sport-bl1,Германия,DE,iptv-online-primary,Xsky-sport-bl1,id,99,probable,strong exact match; no country conflict detected,,False
SAT.1 Gold HD,X76716,X76716,Германия,DE,iptv-online-primary,X76716,id,99,probable,strong exact match; no country conflict detected,,False
Sky Sport Top Event HD,X10675,X10675,Германия,DE,iptv-online-primary,X10675,id,99,probable,strong exact match; no country conflict detected,,False
Sky Sport Mix,X10785,X10785,Германия,DE,iptv-online-primary,X10785,id,99,probable,strong exact match; no country conflict detected,,False
Sky Sport Tennis HD,X10634,X10634,Германия,DE,iptv-online-primary,X10634,id,99,probable,strong exact match; no country conflict detected,,False
ORF SPORT+,X76756,X76756,Германия,DE,iptv-online-primary,X76756,id,99,probable,strong exact match; no country conflict detected,,False
Sport 1 HD,X401577,X401577,Германия,DE,iptv-online-primary,X401577,id,99,probable,strong exact match; no country conflict detected,,False
ESports 1,XeSports1.de,XeSports1.de,Германия,DE,iptv-online-primary,XeSports1.de,id,99,probable,strong exact match; no country conflict detected,,False
Sport 1+,XSPORT1+.de,XSPORT1+.de,Германия,DE,iptv-online-primary,XSPORT1+.de,id,99,probable,strong exact match; no country conflict detected,,False
Eurosport 1 HD,X76619,X76619,Германия,DE,iptv-online-primary,X76619,id,99,probable,strong exact match; no country conflict detected,,False
Sky Crime,X10908,X10908,Германия,DE,iptv-online-primary,X10908,id,99,probable,strong exact match; no country conflict detected,,False
Sky One HD,X401732,X401732,Германия,DE,iptv-online-primary,X401732,id,99,probable,strong exact match; no country conflict detected,,False
Sky Showcase HD,X10918,X10918,Германия,DE,iptv-online-primary,X10918,id,99,probable,strong exact match; no country conflict detected,,False
Sky Nature,X10640,X10640,Германия,DE,iptv-online-primary,X10640,id,99,probable,strong exact match; no country conflict detected,,False
Sky Documentaries,X10620,X10620,Германия,DE,iptv-online-primary,X10620,id,99,probable,strong exact match; no country conflict detected,,False
Sky Krimi HD,X76663,X76663,Германия,DE,iptv-online-primary,X76663,id,99,probable,strong exact match; no country conflict detected,,False
Sky Cinema Highlights,X321554,X321554,Германия,DE,iptv-online-primary,X321554,id,99,probable,strong exact match; no country conflict detected,,False
Comedy Central HD DE,X76742,X76742,Германия,DE,iptv-online-primary,X76742,id,99,probable,strong exact match; no country conflict detected,,False
Universal TV HD DE,X76662,X76662,Германия,DE,iptv-online-primary,X76662,id,99,probable,strong exact match; no country conflict detected,,False
NOW HD,X76694,X76694,Германия,DE,iptv-online-primary,X76694,id,99,probable,strong exact match; no country conflict detected,,False
Warner TV Serie HD,X76806,X76806,Германия,DE,iptv-online-primary,X76806,id,99,probable,strong exact match; no country conflict detected,,False
Warner TV Comedy HD,X76679,X76679,Германия,DE,iptv-online-primary,X76679,id,99,probable,strong exact match; no country conflict detected,,False
Warner TV Film HD,X76645,X76645,Германия,DE,iptv-online-primary,X76645,id,99,probable,strong exact match; no country conflict detected,,False
One HD,X76738,X76738,Германия,DE,iptv-online-primary,X76738,id,99,probable,strong exact match; no country conflict detected,,False
Phoenix HD,X76649,X76649,Германия,DE,iptv-online-primary,X76649,id,99,probable,strong exact match; no country conflict detected,,False
Geo Television HD,X76800,X76800,Германия,DE,iptv-online-primary,X76800,id,99,probable,strong exact match; no country conflict detected,,False
Discovery HD DE,X76686,X76686,Германия,DE,iptv-online-primary,X76686,id,99,probable,strong exact match; no country conflict detected,,False
Kabel Eins Doku HD,X76715,X76715,Германия,DE,iptv-online-primary,X76715,id,99,probable,strong exact match; no country conflict detected,,False
TLC HD,X76699,X76699,Германия,DE,iptv-online-primary,X76699,id,99,probable,strong exact match; no country conflict detected,,False
Toggo HD,X76767,X76767,Германия,DE,iptv-online-primary,X76767,id,99,probable,strong exact match; no country conflict detected,,False
Toggo Plus HD,X76789,X76789,Германия,DE,iptv-online-primary,X76789,id,99,probable,strong exact match; no country conflict detected,,False
Cartoonito,X197540,X197540,Германия,DE,iptv-online-primary,XCartoonito.ro,name,90,wrong,explicit XMLTV country RO conflicts with provider region DE,,True
Cartoon Network DE,X76763,X76763,Германия,DE,iptv-online-primary,X76763,id,99,probable,strong exact match; no country conflict detected,,False
Disney HD DE,X76786,X76786,Германия,DE,iptv-online-primary,X76786,id,99,probable,strong exact match; no country conflict detected,,False
Jukebox,X76615,X76615,Германия,DE,iptv-online-primary,X76615,id,99,probable,strong exact match; no country conflict detected,,False
Das Erste HD,X76674,X76674,Германия,DE,iptv-online-primary,X76674,id,99,probable,strong exact match; no country conflict detected,,False
ZDFinfo HD,X76718,X76718,Германия,DE,iptv-online-primary,X76718,id,99,probable,strong exact match; no country conflict detected,,False
ZDFneo HD,X76739,X76739,Германия,DE,iptv-online-primary,X76739,id,99,probable,strong exact match; no country conflict detected,,False
SIXX HD DE,X76614,X76614,Германия,DE,iptv-online-primary,X76614,id,99,probable,strong exact match; no country conflict detected,,False
Kabel Eins classic HD,X76725,X76725,Германия,DE,iptv-online-primary,X76725,id,99,probable,strong exact match; no country conflict detected,,False
NITRO HD,X76787,X76787,Германия,DE,iptv-online-primary,X76787,id,99,probable,strong exact match; no country conflict detected,,False
Romance TV DE,X76624,X76624,Германия,DE,iptv-online-primary,X76624,id,99,probable,strong exact match; no country conflict detected,,False
3 Sat HD DE,X76682,X76682,Германия,DE,iptv-online-primary,X76682,id,99,probable,strong exact match; no country conflict detected,,False
NDR HD DE,X76748,X76748,Германия,DE,iptv-online-primary,X76748,id,99,probable,strong exact match; no country conflict detected,,False
SWR Fernsehen RP HD,X76693,X76693,Германия,DE,iptv-online-primary,X76693,id,99,probable,strong exact match; no country conflict detected,,False
HR HD DE,X76648,X76648,Германия,DE,iptv-online-primary,X76648,id,99,probable,strong exact match; no country conflict detected,,False
Bibel TV HD,X76794,X76794,Германия,DE,iptv-online-primary,X76794,id,99,probable,strong exact match; no country conflict detected,,False
Anixe HD DE,X76745,X76745,Германия,DE,iptv-online-primary,X76745,id,99,probable,strong exact match; no country conflict detected,,False
Motorvision TV DE,X76630,X76630,Германия,DE,iptv-online-primary,X76630,id,99,probable,strong exact match; no country conflict detected,,False
ORF 2 HD,X76616,X76616,Германия,DE,iptv-online-primary,X76616,id,99,probable,strong exact match; no country conflict detected,,False
ORF 3 HD,X76734,X76734,Германия,DE,iptv-online-primary,X76734,id,99,probable,strong exact match; no country conflict detected,,False
ATV DE,X76810,X76810,Германия,DE,iptv-online-primary,X76810,id,99,probable,strong exact match; no country conflict detected,,False
ATV 2 DE,X76638,X76638,Германия,DE,iptv-online-primary,X76638,id,99,probable,strong exact match; no country conflict detected,,False
KIKA HD DE,X76680,X76680,Германия,DE,iptv-online-primary,X76680,id,99,probable,strong exact match; no country conflict detected,,False
Crime + Investigation,X76667,X76667,Германия,DE,iptv-online-primary,X76667,id,99,probable,strong exact match; no country conflict detected,,False
QVC HD,X76697,X76697,Германия,DE,iptv-online-primary,X76697,id,99,probable,strong exact match; no country conflict detected,,False
QVC ZWEI HD,X76618,X76618,Германия,DE,iptv-online-primary,X76618,id,99,probable,strong exact match; no country conflict detected,,False
DF1 HD,X182674,X182674,Германия,DE,iptv-online-primary,X182674,id,99,probable,strong exact match; no country conflict detected,,False
RiC NEU,X76731,X76731,Германия,DE,iptv-online-primary,X76731,id,99,probable,strong exact match; no country conflict detected,,False
oe24.TV HD,X100304,X100304,Германия,DE,iptv-online-primary,X100304,id,99,probable,strong exact match; no country conflict detected,,False
Heimatkanal,X76675,X76675,Германия,DE,iptv-online-primary,X76675,id,99,probable,strong exact match; no country conflict detected,,False
1-2-3.tv HD,X123.tv.de,X123.tv.de,Германия,DE,iptv-online-primary,X123.tv.de,id,99,probable,strong exact match; no country conflict detected,,False
HSE Extra HD,X76737,X76737,Германия,DE,iptv-online-primary,X76737,id,99,probable,strong exact match; no country conflict detected,,False
Channel 9 HD,Xערוץ.9.שידור.חי.il,Xערוץ.9.שידור.חי.il,Израиль,IL,iptv-online-primary,Xערוץ.9.שידור.חי.il,id,99,probable,strong exact match; no country conflict detected,,False
Keshet 12 HD,X991603,X991603,Израиль,IL,iptv-online-primary,X991603,id,99,probable,strong exact match; no country conflict detected,,False
Reshet 13 HD,X991604,X991604,Израиль,IL,iptv-online-primary,X991604,id,99,probable,strong exact match; no country conflict detected,,False
now 14 HD,X991622,X991622,Израиль,IL,iptv-online-primary,X991622,id,99,probable,strong exact match; no country conflict detected,,False
Channel 24,X991612,X991612,Израиль,IL,iptv-online-primary,X991612,id,99,probable,strong exact match; no country conflict detected,,False
Kan 11 HD,X991576,X991576,Израиль,IL,iptv-online-primary,X991576,id,99,probable,strong exact match; no country conflict detected,,False
Hot Cinema 1 HD,X991584,X991584,Израиль,IL,iptv-online-primary,X991584,id,99,probable,strong exact match; no country conflict detected,,False
Hot Cinema 2 HD,X991585,X991585,Израиль,IL,iptv-online-primary,X991585,id,99,probable,strong exact match; no country conflict detected,,False
Hot Cinema 3 HD,X991586,X991586,Израиль,IL,iptv-online-primary,X991586,id,99,probable,strong exact match; no country conflict detected,,False
Hot Cinema 4 HD,X991587,X991587,Израиль,IL,iptv-online-primary,X991587,id,99,probable,strong exact match; no country conflict detected,,False
Hot 3 HD,X991599,X991599,Израиль,IL,iptv-online-primary,X991599,id,99,probable,strong exact match; no country conflict detected,,False
Hot 8 HD,Xערוץ.8.שידור.חי.il,Xערוץ.8.שידור.חי.il,Израиль,IL,iptv-online-primary,Xערוץ.8.שידור.חי.il,id,99,probable,strong exact match; no country conflict detected,,False
HOT Zone HD,X991583,X991583,Израиль,IL,iptv-online-primary,X991583,id,99,probable,strong exact match; no country conflict detected,,False
Yam Tiсhoni HD,X991600,X991600,Израиль,IL,iptv-online-primary,X991600,id,99,probable,strong exact match; no country conflict detected,,False
Hop!,X991589,X991589,Израиль,IL,iptv-online-primary,X991589,id,99,probable,strong exact match; no country conflict detected,,False
One HD,X991623,X991623,Израиль,IL,iptv-online-primary,X991623,id,99,probable,strong exact match; no country conflict detected,,False
One 2 HD,X991784,X991784,Израиль,IL,iptv-online-primary,X991784,id,99,probable,strong exact match; no country conflict detected,,False
Sport 1 HD,X991787,X991787,Израиль,IL,iptv-online-primary,X991787,id,99,probable,strong exact match; no country conflict detected,,False
Sport 2 HD,X991796,X991796,Израиль,IL,iptv-online-primary,X991796,id,99,probable,strong exact match; no country conflict detected,,False
