playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence,accuracy_status,accuracy_reason,evidence_url,quarantine
LRT Klasika,Xlrt-klasika-lt,Xlrt-klasika-lt,Латвия,LV,iptv-online-primary,Xlrt-klasika-lt,id,99,wrong,explicit XMLTV country LT conflicts with provider region LV,,True
LRT Opus,Xlrt-opus-lt,Xlrt-opus-lt,Латвия,LV,iptv-online-primary,Xlrt-opus-lt,id,99,wrong,explicit XMLTV country LT conflicts with provider region LV,,True
LRT Radijas,Xlrt-radijas-lt,Xlrt-radijas-lt,Латвия,LV,iptv-online-primary,Xlrt-radijas-lt,id,99,wrong,explicit XMLTV country LT conflicts with provider region LV,,True
Cartoonito,X197540,X197540,Германия,DE,iptv-online-primary,XCartoonito.ro,name,90,wrong,explicit XMLTV country RO conflicts with provider region DE,,True
Zoom,XZoom.il,XZoom.il,Израиль,IL,iptv-online-primary,Xzoom-ua,name,90,wrong,explicit XMLTV country UA conflicts with provider region IL,,True
TVN HD,,Xtvn-pl,Молдова,MD,iptv-online-primary,Xtvn-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region MD,,True
Nicktoons,,XNicktoons.hu,Румыния,RO,iptv-online-primary,XNicktoons.hu,name,90,wrong,explicit XMLTV country HU conflicts with provider region RO,,True
Warner TV HD,,Xwarner-pl,Румыния,RO,iptv-online-primary,Xwarner-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region RO,,True
Golf Channel,Xfad8ef045fa357781cfb3163d4b45a09,Xfad8ef045fa357781cfb3163d4b45a09,SkyLink,CZ/SK,iptv-online-primary,XGolf.Channel.HD.pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region CZ/SK,,True
AXN White,XAXN.White.ro,XAXN.White.ro,Румыния,RO,iptvx-noarch,axn-white-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region RO,,True
AXN Black,XAXN.Black.ro,XAXN.Black.ro,Румыния,RO,iptvx-noarch,axn-black-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region RO,,True
AXN HD,XAXN.HD.ro,XAXN.HD.ro,Румыния,RO,iptvx-noarch,axn-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region RO,,True
AXN Spin,XAXN.Spin.ro,XAXN.Spin.ro,Румыния,RO,iptvx-noarch,axn-spin-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region RO,,True
AXN,,axn-pl,SkyLink,CZ/SK,iptvx-noarch,axn-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region CZ/SK,,True
AXN Black,,axn-black-pl,SkyLink,CZ/SK,iptvx-noarch,axn-black-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region CZ/SK,,True
AXN White,,axn-white-pl,SkyLink,CZ/SK,iptvx-noarch,axn-white-pl,name,90,wrong,explicit XMLTV country PL conflicts with provider region CZ/SK,,True
