playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
Первый канал,Xpervy,OK,101.12,2026-09-07T02:57:00+00:00,261
Первый канал HD,Xpervy,OK,101.12,2026-09-07T02:57:00+00:00,261
Первый канал Европа,Xpervy-kanal-eu,OK,98.5,2026-09-07T00:20:00+00:00,250
Первый канал +2,Xpervy-pl2,OK,93.17,2026-09-06T19:00:00+00:00,205
Первый HD +4,Xpervy-pl4,OK,91.17,2026-09-06T17:00:00+00:00,194
Первый канал +4,Xpervy-pl4,OK,91.17,2026-09-06T17:00:00+00:00,194
Первый канал +6,Xpervy-pl6,OK,89.17,2026-09-06T15:00:00+00:00,196
Первый Канал +8,Xpervy-pl8,OK,93.12,2026-09-06T18:57:00+00:00,256
Россия 1 HD,Xrossia1,OK,95.17,2026-09-06T21:00:00+00:00,170
Россия 1,Xrossia1,OK,95.17,2026-09-06T21:00:00+00:00,170
Россия 1 +2 HD,Xrossia1-pl2,OK,93.17,2026-09-06T19:00:00+00:00,212
Россия 1 +2,Xrossia1-pl2,OK,93.17,2026-09-06T19:00:00+00:00,212
Россия 1 +4 HD,Xrossia1-pl4,OK,91.17,2026-09-06T17:00:00+00:00,211
Россия 1 +4,Xrossia1-pl4,OK,91.17,2026-09-06T17:00:00+00:00,211
Россия 1 +6 HD,Xrossia1-pl6,OK,94.42,2026-09-06T20:15:00+00:00,182
Россия 1 +6,Xrossia1-pl6,OK,94.42,2026-09-06T20:15:00+00:00,182
Россия 1 +9 HD,Xrossia1-pl9,OK,91.42,2026-09-06T17:15:00+00:00,180
Россия 24,Xrossia-24,OK,94.57,2026-09-06T20:24:00+00:00,613
Россия 24 HD,Xrossia-24,OK,94.57,2026-09-06T20:24:00+00:00,613
Планета РТР,Xrtr-planeta-eu,OK,100.33,2026-09-07T02:10:00+00:00,187
ТНТ,Xtnt,OK,100.5,2026-09-07T02:20:00+00:00,307
ТНТ HD,Xtnt,OK,100.5,2026-09-07T02:20:00+00:00,307
ТНТ +2,Xtnt-pl2,OK,100.75,2026-09-07T02:35:00+00:00,307
ТНТ +4,Xtnt-pl4,OK,98.75,2026-09-07T00:35:00+00:00,303
