playlist_name,group,source,source_id,output_tvg_id,now,next,verified_binding_ok,binding_rule
Первый канал,Россия,iptv-online-primary,Xpervy,Xpervy,,,,
Первый канал HD,Россия,iptv-online-primary,Xpervy,Xpervy,,,,
Первый канал Европа,Россия,iptv-online-primary,Xpervy-kanal-eu,Xpervy-kanal-eu,,,,
Первый канал +2,Россия,iptv-online-primary,Xpervy-pl2,Xpervy-pl2,,,,
Первый HD +4,Россия,iptv-online-primary,Xpervy-pl4,Xpervy-pl4,,,,
Первый канал +4,Россия,iptv-online-primary,Xpervy-pl4,Xpervy-pl4,,,,
Первый канал +6,Россия,iptv-online-primary,Xpervy-pl6,Xpervy-pl6,,,,
Первый Канал +8,Россия,iptv-online-primary,Xpervy-pl8,Xpervy-pl8,,,,
Россия 1 HD,Россия,iptv-online-primary,Xrossia1,Xrossia1,,,,
Россия 1,Россия,iptv-online-primary,Xrossia1,Xrossia1,,,,
Россия 1 +2 HD,Россия,iptv-online-primary,Xrossia1-pl2,Xrossia1-pl2,,,,
Россия 1 +2,Россия,iptv-online-primary,Xrossia1-pl2,Xrossia1-pl2,,,,
Россия 1 +4 HD,Россия,iptv-online-primary,Xrossia1-pl4,Xrossia1-pl4,,,,
Россия 1 +4,Россия,iptv-online-primary,Xrossia1-pl4,Xrossia1-pl4,,,,
Россия 1 +6 HD,Россия,iptv-online-primary,Xrossia1-pl6,Xrossia1-pl6,,,,
Россия 1 +6,Россия,iptv-online-primary,Xrossia1-pl6,Xrossia1-pl6,,,,
Россия 1 +9 HD,Россия,iptv-online-primary,Xrossia1-pl9,Xrossia1-pl9,,,,
Россия 24,Россия,iptv-online-primary,Xrossia-24,Xrossia-24,,,,
Россия 24 HD,Россия,iptv-online-primary,Xrossia-24,Xrossia-24,,,,
Планета РТР,Россия,iptv-online-primary,Xrtr-planeta-eu,Xrtr-planeta-eu,,,,
ТНТ,Россия,iptv-online-primary,Xtnt,Xtnt,,,,
ТНТ HD,Россия,iptv-online-primary,Xtnt,Xtnt,,,,
