playlist_name,playlist_tvg_id,output_tvg_id,group,region,source,source_id,method,confidence
Дизель Шоу,X6147,X6147,Украинские,UA,iptv-online-primary,X6147,id,99
.sci-fi,Xsony-scifi,Xsony-scifi,Кино,,iptv-online-primary,XSCI.FI.HD.pl,name,90
KBC-В.О.В. HD,X39821,X39821,Кинозалы,,iptv-online-primary,X39821,id,99
KBC-Comics HD,X39800,X39800,Кинозалы,,iptv-online-primary,X39800,id,99
KBC-Elite comedy's HD,X35448,X35448,Кинозалы,,iptv-online-primary,X35448,id,99
KBC-Fantastic HD,X39795,X39795,Кинозалы,,iptv-online-primary,X39795,id,99
KBC-History HD,X39796,X39796,Кинозалы,,iptv-online-primary,X39796,id,99
KBC-Newfilm HD,X39048,X39048,Кинозалы,,iptv-online-primary,X39048,id,99
KBC-WAR HD,X42051,X42051,Кинозалы,,iptv-online-primary,X42051,id,99
KBC-Russian Комедия HD,X36168,X36168,Кинозалы,,iptv-online-primary,X36168,id,99
KBC-Видак HD,X36251,X36251,Кинозалы,,iptv-online-primary,X36251,id,99
KBC-ГАЙ Ritchie & Tarantino,X39819,X39819,Кинозалы,,iptv-online-primary,X39819,id,99
KBC-ДрамаTic HD,X36732,X36732,Кинозалы,,iptv-online-primary,X36732,id,99
KBC-Вестерн HD,X39825,X39825,Кинозалы,,iptv-online-primary,X39825,id,99
KBC-Кошмарное HD,X36277,X36277,Кинозалы,,iptv-online-primary,X36277,id,99
KBC-Страна СССР,X36506,X36506,Кинозалы,,iptv-online-primary,X36506,id,99
KBC-Animals HD,X39823,X39823,Кинозалы,,iptv-online-primary,X39823,id,99
KBC-MusKino HD,X39822,X39822,Кинозалы,,iptv-online-primary,X39822,id,99
KBC-СпортМикс HD,X35525,X35525,Кинозалы,,iptv-online-primary,X35525,id,99
KBC-ГОБЛИН HD,X42054,X42054,Кинозалы,,iptv-online-primary,X42054,id,99
KBC-Шпионское HD,X39820,X39820,Кинозалы,,iptv-online-primary,X39820,id,99
KBC-АНИМЕ HD,X42053,X42053,Кинозалы,,iptv-online-primary,X42053,id,99
KBC-Легендарное HD,X39826,X39826,Кинозалы,,iptv-online-primary,X39826,id,99
MM USSR Приключения HD,Xminimax-ussr-prikluchenija,Xminimax-ussr-prikluchenija,Кинозалы,,iptv-online-primary,Xminimax-ussr-prikluchenija,id,99
