family,playlist_name,playlist_tvg_id,group,region
BCU,BCU Kids HD,Xbcu-multzal,Детские,
BOX,BOX Be ON Edge 2 Live HD,Xbox-beonedge2live,Спорт,
BOX,Box Sport Live 12 HD,,Спорт,
BOX,Box Sport Live 13 HD,,Спорт,
BOX,Box Sport Live 14 HD,,Спорт,
BOX,Box Sport Live 15 HD,,Спорт,
BOX,BOX SportCast Live 5 HD,Xbox-sportcast-live5,Спорт,
BOX,BOX SportCast Live 8 HD,Xbox-sportcast-live8,Спорт,
BOX,BOX SportCast Live 9 HD,Xbox-sportcast-live9,Спорт,
DITV,DITV Детский досуг,no_epg_mult,Детские,
DITV,DITV Детский канал,no_epg_mult,Детские,
DITV,DITV Мультфильмы для малышей,no_epg_mult,Детские,
DITV,DITV Сборник мультфильмов сказок,no_epg_mult,Детские,
DITV,DITV Союзмултфилм,no_epg_mult,Детские,
DITV,DITV Фиксики  4К,no_epg_mult,Детские,
DITV,DITV XXX 18+,no_epg_xxx,Для взрослых,
DITV,DITV Concert,no_epg_cinema,Кинозалы,
DITV,DITV Game of Thrones,no_epg_cinema,Кинозалы,
DITV,DITV Walt Disney,no_epg_cinema,Кинозалы,
DITV,DITV Агент национальной безопасности,no_epg_cinema,Кинозалы,
DITV,DITV Американские комедии 80-90-х,no_epg_cinema,Кинозалы,
DITV,DITV ГАРИ ПОТЕР,no_epg_cinema,Кинозалы,
DITV,DITV Глухарь,no_epg_cinema,Кинозалы,
DITV,DITV Карпов,no_epg_cinema,Кинозалы,
DITV,DITV КЛАССИКА ИНДИЙСКОГО КИНО,no_epg_cinema,Кинозалы,
DITV,DITV КОМЕДИИ,no_epg_cinema,Кинозалы,
DITV,DITV КОМЕДИИ 90-х,no_epg_cinema,Кинозалы,
DITV,DITV КОМЕДИИ СССР,no_epg_cinema,Кинозалы,
DITV,DITV комедийные сериалы,no_epg_cinema,Кинозалы,
DITV,DITV комедийные сериалы,no_epg_cinema,Кинозалы,
DITV,DITV Куба,no_epg_cinema,Кинозалы,
DITV,DITV Лихач,no_epg_cinema,Кинозалы,
DITV,DITV ПАТРИОТ,no_epg_cinema,Кинозалы,
DITV,DITV Про акул,no_epg_cinema,Кинозалы,
DITV,DITV Про вампиров,no_epg_cinema,Кинозалы,
DITV,DITV Пятницкий,no_epg_cinema,Кинозалы,
DITV,DITV Пёс,no_epg_cinema,Кинозалы,
DITV,DITV СССР 4К,no_epg_cinema,Кинозалы,
DITV,DITV Счастливы вместе,no_epg_cinema,Кинозалы,
DITV,DITV ФИЛЬМЫ,no_epg_cinema,Кинозалы,
DITV,DITV ФИЛЬМЫ УЖАСОВ 80-х,no_epg_cinema,Кинозалы,
DITV,DITV 4К,,Познавательные,
DITV,DITV Дикая природа 4К,,Познавательные,
DITV,DITV Кулинария,,Познавательные,
Joker,jk_desperate,,Кинозалы,
Joker,jk_SexandCity,,Кинозалы,
Magic,Magic TV,,Болгария,BG
Other,192 TV NL,,BE & NL,BE/NL
Other,6 Ter,,BE & NL,BE/NL
Other,24 Kitchen,X24.Kitchen.bg,Болгария,BG
Other,2 TV,,Грузия,GE
Other,Channel 11,channel11.il,Израиль,IL
Other,Channel 14 HD,,Израиль,IL
Other,Channel 24,,Израиль,IL
Other,12 Do,,Испания,
Other,24 Horas ES,,Испания,
Other,A TPA,,Испания,
Other,50 Canale,,Италия,IT
Other,TV 2000,,Италия,IT
Other,Q Arena,Xqsport-kz,Казахстан,
Other,Q Sport League,Xq-sport-ext,Казахстан,
Other,Кино 24/7,,Кино,
Other,Кіно Та Серіали,,Кино,
Other,TV Jūrmala,TVJurmala.lv@SD,Литва,LT
Other,A TV,,Молдова,MD
Other,Cinema 1 HD,,Молдова,MD
Other,100% NL,,Музыкальные,
Other,538 T,,Музыкальные,
Other,Šláger Original,,Чехия,CZ
Other,Šláger Premium,,Чехия,CZ
Other,Канал 7,,Эстония,
Other: 5Sport,5Sport,,Израиль,IL
Other: 70-80,70-80 TV,,Музыкальные,
Other: A1,A1 TV,,BE & NL,BE/NL
Other: Activa,Activa T,,Музыкальные,
Other: Agro,Agro HD,,Молдова,MD
Other: Amazing,Amazing Discoveries TV Live Stream,,Канада,CA
Other: Anal,Anal,,Для взрослых,
Other: Antena,Antena 3 HD ES,,Испания,
Other: Antwerpen,Antwerpen Live,,BE & NL,BE/NL
Other: Apsua,Apsua TV,,Грузия,GE
Other: Aragon,Aragon TV int,,Испания,
Other: Arena,Arena Premium 4 HD,,Спорт,
Other: Arena,Arena Premium 5 HD,,Спорт,
Other: Aristo,Aristo TV,,Германия,DE
Other: Atv,Atv Antwerpen,,BE & NL,BE/NL
Other: AutoMotorSport,AutoMotorSport HD,X5a47413dce1d8829fcbe0bf021e18ae5,SkyLink,CZ/SK
Other: AXN,AXN,,SkyLink,CZ/SK
Other: AXN,AXN Black,,SkyLink,CZ/SK
Other: AXN,AXN White,,SkyLink,CZ/SK
Other: Baby,Baby TV,Xbaby-tv,Детские,
Other: Baby,Baby TV,,Израиль,IL
Other: BBC,BBC First,XBBC.First.nl,BE & NL,BE/NL
Other: BBC,BBC Series HD,,Испания,
Other: BEATTV,BEATTV,,BE & NL,BE/NL
Other: BeIN,BeIN EXTRAS,,Спорт,
Other: BeJoy,BeJoy Kids,,Италия,IT
Other: Bel,Bel RTL,,BE & NL,BE/NL
Other: Best,Best of Dance TV,,Музыкальные,
Other: betking,betking live 1,,Спорт,
Other: betking,betking live 2,,Спорт,
Other: Betking,Betking Live 3,,Спорт,
Other: BG,BG on AIR,XBulgaria.ON.AIR.bg,Болгария,BG
Other: BNR,BNR Nieuwsradio,,BE & NL,BE/NL
Other: BOLLYSHOW,BOLLYSHOW,,Израиль,IL
Other: BOX_MUSIC2_4K,BOX_MUSIC2_4K,,Музыкальные,
Other: BOX_SPORT_LIVE_4K,BOX_SPORT_LIVE_4K,,Спорт,
Other: BOX_SPORT_LIVE_5_HD,BOX_SPORT_LIVE_5_HD,Xbox-sportcast-live5,Спорт,
Other: BOX_SPORT_LIVE_6_HD,BOX_SPORT_LIVE_6_HD,Xbox-sportcast-live6,Спорт,
Other: BOX_SPORT_LIVE_7_HD,BOX_SPORT_LIVE_7_HD,Xbox-sportcast-live7,Спорт,
Other: BOX_SPORT_LIVE_8_HD,BOX_SPORT_LIVE_8_HD,Xbox-sportcast-live8,Спорт,
Other: BOX_SPORT_LIVE_9_HD,BOX_SPORT_LIVE_9_HD,Xbox-sportcast-live9,Спорт,
Other: BR6,BR6 TV,,BE & NL,BE/NL
Other: Busuioc,Busuioc TV,,Молдова,MD
Other: BX1,BX1,XBX1.be,BE & NL,BE/NL
Other: Canal,Canal 33 Madr,,Испания,
Other: Canal+,Canal+ Cinema,,BE & NL,BE/NL
Other: Canal+,Canal+ FR,,BE & NL,BE/NL
Other: CANAL+,CANAL+ Sport (CZ),X6fda506ca37562e7c8a37011eecb6995,SkyLink,CZ/SK
Other: CANAL+,CANAL+ Sport 2 (SK),Xba674f276a1f7dbe4c756d9ea0b50a38,SkyLink,CZ/SK
Other: Canale,Canale 2,,Италия,IT
Other: Canale,Canale 7 HD,,Италия,IT
Other: Carac,Carac 1,,BE & NL,BE/NL
Other: Carac,Carac 2,,BE & NL,BE/NL
Other: Carac,Carac 3,,BE & NL,BE/NL
Other: Carac,Carac 4,,BE & NL,BE/NL
Other: Cartoon,Cartoon Network,XCartoon.Network.Canada.-.East.ca,Канада,CA
Other: Cartoonito,Cartoonito,X197540,Германия,DE
Other: CBS,CBS Europa HD,XCBS.Europa.pl,Польша,PL
Other: CBS,CBS Reality HD,XCBS.Reality.pl,Польша,PL
Other: Channel21,Channel21 HD,X405758,Германия,DE
Other: Cine,Cine Canal,,Испания,
Other: Cine,Cine Friki,,Испания,
Other: Cine,Cine Pride,,Испания,
Other: Cine+,Cine+ Classic,,BE & NL,BE/NL
Other: Cine+,Cine+ Emotion,,BE & NL,BE/NL
Other: CineManExExEx,CineManExExEx,no_epg_xxx,Для взрослых,
Other: CineManExExEx,CineManExExEx TWO,no_epg_xxx,Для взрослых,
Other: City,City News Toronto,city-news-toronto,Канада,CA
Other: Clan,TV Clan HD,,Испания,
Other: ClipMyHorse,ClipMyHorse.TV,,Германия,DE
Other: Club,Club 3,,Германия,DE
Other: CNN,CNN,,Болгария,BG
Other: CodeFashion,CodeFashion HD,Xcodefashion.bg,Болгария,BG
Other: Company,Company TV,,Музыкальные,
Other: Crime,Crime Time HD,,Германия,DE
Other: Crimenes,Crimenes Reales,,Испания,
Other: Cuatro,Cuatro HD ES,,Испания,
Other: Dave,Dave HD,,UK,GB
Other: DAZN,DAZN 1 DE,,Спорт,
Other: DAZN,DAZN 1 ESPANA,,Спорт,
Other: DAZN,DAZN 2 DE,,Спорт,
Other: DAZN,DAZN 2 ESPAÑA,,Спорт,
Other: DAZN,DAZN Ring,,Спорт,
Other: DAZN,DAZN TV,,Спорт,
Other: DDF,DDF Network,,Для взрослых,
Other: Deep,Deep House District,,Музыкальные,
Other: Discovery,Discovery,,Испания,
Other: Disney,Disney Junior,XDisneyJunior.il,Израиль,IL
Other: Disney,Disney Channel,,Испания,
Other: Disney,Disney Channel,XDisney.Channel.Canada.-.East.ca,Канада,CA
Other: Disney,Disney,,Молдова,MD
Other: Dit,Dit is Helmond,,BE & NL,BE/NL
Other: DSTV,DSTV,,Болгария,BG
Other: Dubai,Dubai Sports 2,,Спорт,
Other: Dubai,Dubai Sports 3,,Спорт,
Other: EDM,EDM Mainstage,,Музыкальные,
Other: EGO,EGO TOTAL,,Израиль,IL
Other: Eleven,Eleven Sports 4 HD,Xeleven-sports-4,Польша,PL
Other: Energy,Energy Music,,Музыкальные,
Other: Enjoy,Enjoy Television,,Музыкальные,
Other: Entertaiment,Entertaiment,,Израиль,IL
Other: Epic,Epic Media,,Кино,
Other: Epic,Epic Media Love,,Кино,
Other: Esperia,Esperia TV,,Италия,IT
Other: ETB,ETB 1 HD ON,,Испания,
Other: ETB,ETB 2 HD ON,,Испания,
Other: Euronews,Euronews Bulgaria,,Болгария,BG
Other: Eurosport,Eurosport 3 HD,Xeurosport3,Спорт,
Other: Exclusiv,Exclusiv TV,,Молдова,MD
Other: FEN,FEN HD,,Болгария,BG
Other: FIFA+,FIFA+ HD (French),fifaplusfrench,Спорт,
Other: FIFA+,FIFA+ HD (German),fifaplusgerman,Спорт,
Other: FIFA+,FIFA+ HD (Hispan America),fifaplushispanamerica,Спорт,
Other: FIFA+,FIFA+ HD (Italy),fifaplusitaly,Спорт,
Other: FIFA+,FIFA+ HD (Portugal),fifaplusportugal,Спорт,
Other: FIFA+,FIFA+ HD (Spain),fifaplusesp,Спорт,
Other: FIFA+,FIFA+ HD (USA),fifaplususa,Спорт,
Other: FIFA+,FIFA+ Women HD,fifapluswomen,Спорт,
Other: Film,Film Top - Rakuten TV,,Италия,IT
Other: Filmbox,Filmbox NL HD,XFilmbox.nl.nl,BE & NL,BE/NL
Other: FintGa,FintGa 1,,Спорт,
Other: FintGa,FintGa 2,,Спорт,
Other: FintGa,FintGa 3,,Спорт,
Other: FintGa,FintGa 4,,Спорт,
Other: Fishing,The Fishing&Hunting Channel HD,,Болгария,BG
Other: FlixSpin,FlixSpin,Xpervy-obrazovatelny,Познавательные,
Other: FM,FM Italia TV,,Италия,IT
Other: FomixTV,FomixTV,,Музыкальные,
Other: FOMO,FOMO,,Израиль,IL
Other: Food,Food Network HD IL,XFoodNetwork.il,Израиль,IL
Other: Food,Food Network HD,Xfood-network,Разное,
Other: Football,Football Live 1,,Спорт,
