playlist_name,playlist_tvg_id,group
Евпатория 24,Xewpatorya24,Россия
Телеплюс,,Россия
Вестник Надыма,Xvestnik-nadyma,Россия
ВТК 41 Аргус,,Россия
Витрина,,Россия
Конкурент TV,,Украинские
Хроніки Війни,,Украинские
Вещдок HD,,Украинские
Слідство ведуть екстрасенси HD,,Украинские
Стосується Кожного,,Украинские
Опер за викликом,,Украинские
Сімейні мелодрами+,,Украинские
Вар'яти HD,,Украинские
Діти проти зірок HD,,Украинские
ЖВЛ+,,Украинские
Мелодрами,,Украинские
Мастер Шеф,,Украинские
Детективи HD,,Украинские
Kvartal TV int. HD,,Украинские
Ревізор,,Украинские
Вікторина,,Украинские
НТК КОЛОМИЯ,,Украинские
ТРК Круг,,Украинские
Чернівецький промінь,,Украинские
TV7+ Проскурів,,Украинские
Перший Подільський,,Украинские
11 канал Дніпро,,Украинские
Віта  ТБ (Вінниця) HD,,Украинские
ITV HD (Рівне),,Украинские
Орбіта,,Украинские
Снятин HD,,Украинские
Місто+,,Украинские
D1 (Дніпропетровщина),,Украинские
Март (Миколаїв),,Украинские
Візит HD,,Украинские
Випадковий Свідок,,Украинские
Вгадай Мелодію HD,,Украинские
Справа НБР HD,,Украинские
Розслідування з Данілевичем HD,,Украинские
Таємниці ДНК HD,,Украинские
Детектор Брехні HD,,Украинские
TIC (Одеса),,Украинские
Серіал Україна 1,,Кино
Серіал Україна 2,,Кино
Lost HD,,Кино
Кинодром,,Кино
НТВ Сериал Шеф,no_epg_cinema,Кино
НТВ Сериал Невский,no_epg_cinema,Кино
НТВ Сериал Первый Отде,no_epg_cinema,Кино
НТВ Сериал Скорая Помощь,no_epg_cinema,Кино
НТВ Сериал Следствие Вели,no_epg_cinema,Кино
НТВ Сериал Пять Минут Тишины,no_epg_cinema,Кино
Кино 24/7,,Кино
Кино Топ,,Кино
Лента Кино,,Кино
Детектив HD,,Кино
Кинолаффка HD,,Кино
Star Media,,Кино
Честный Детекти,,Кино
FilmZone,Xfilmzone,Кино
Кіно Та Серіали,,Кино
Новый Русский HD,,Кино
Пес HD,,Кино
Play-X Кухня,,Кино
Play-X Военные сериалы,,Кино
Play-X Леонид Гайдай,,Кино
BCU NEW MEDIA 2,,Кинозалы
VeleS С Новым годом!,velesyear-new,Кинозалы
DITV ФИЛЬМЫ УЖАСОВ 80-х,no_epg_cinema,Кинозалы
DITV Американские комедии 80-90-х,no_epg_cinema,Кинозалы
DITV ГАРИ ПОТЕР,no_epg_cinema,Кинозалы
DITV Про акул,no_epg_cinema,Кинозалы
DITV Про вампиров,no_epg_cinema,Кинозалы
DITV Карпов,no_epg_cinema,Кинозалы
DITV Лихач,no_epg_cinema,Кинозалы
DITV комедийные сериалы,no_epg_cinema,Кинозалы
DITV ФИЛЬМЫ,no_epg_cinema,Кинозалы
DITV КОМЕДИИ СССР,no_epg_cinema,Кинозалы
DITV комедийные сериалы,no_epg_cinema,Кинозалы
DITV КОМЕДИИ 90-х,no_epg_cinema,Кинозалы
DITV Глухарь,no_epg_cinema,Кинозалы
DITV КОМЕДИИ,no_epg_cinema,Кинозалы
DITV Куба,no_epg_cinema,Кинозалы
DITV СССР 4К,no_epg_cinema,Кинозалы
DITV Walt Disney,no_epg_cinema,Кинозалы
DITV Concert,no_epg_cinema,Кинозалы
DITV Пёс,no_epg_cinema,Кинозалы
DITV Агент национальной безопасности,no_epg_cinema,Кинозалы
DITV Пятницкий,no_epg_cinema,Кинозалы
DITV Game of Thrones,no_epg_cinema,Кинозалы
DITV Счастливы вместе,no_epg_cinema,Кинозалы
DITV КЛАССИКА ИНДИЙСКОГО КИНО,no_epg_cinema,Кинозалы
DITV ПАТРИОТ,no_epg_cinema,Кинозалы
KLI Новинки HD,Xklinovinci,Кинозалы
jk_SexandCity,,Кинозалы
jk_desperate,,Кинозалы
На Трьох HD,,Кинозалы UA
SWEET КIНО HD,,Кинозалы UA
Криваві Квіти HD,,Кинозалы UA
Полювання на в бивцю HD,,Кинозалы UA
Романтичний Марафон HD,,Кинозалы UA
Кіно на Різдво,,Кинозалы UA
Містика і Таємниц,,Кинозалы UA
Дорами Українською HD,,Кинозалы UA
Кохання на виживання HD,,Кинозалы UA
Твій Світ HD,,Кинозалы UA
Joker:Кращі фільми 2024,jk_top2024,Кинозалы UA
Joker: Том та Джеррі,jk_TomJery,Кинозалы UA
Joker: Twin Peaks,jk_Twin_Peaks,Кинозалы UA
Релакс,jk_relax,Кинозалы UA
Різдво,jk_rizdvo,Кинозалы UA
Ховаючи колишню HD,,Кинозалы UA
Play-X Украинский кинозал 1 HD,,Кинозалы UA
Play-X Украинский кинозал 2 HD,,Кинозалы UA
Play-X Фильмы про войну в Украине,,Кинозалы UA
BOX Remast Plus 4K,Xbox-remast-plus-4k.png,Кино 4K
KLI Новинки 4K Ultra HD,Xklinovinci4k,Кино 4K
Clarity4K HDR Cinema MIX 1,,Кино 4K
Clarity4K HDR Cinema MIX 2,,Кино 4K
Clarity4K HDR Cinema MIX 3,,Кино 4K
