playlist_name,group,expected_tvg_id,actual_tvg_id,actual_tvg_name,epg_validated,duplicate_name_count,status
BCU Fantastic HDR,Кинозалы,Xbcu-fantastic,Xbcu-media-3-hdr,BCU Fantastic HDR,True,2,wrong_tvg_id
BCU Catastrophe HD,Кинозалы,Xbcu-catastrophe,,,True,2,wrong_tvg_id
BCU History HD,Кинозалы,Xbcu-history,bcu-history,BCU History HD,True,2,wrong_tvg_id
1+1,,X1plus1,,,True,0,mapped_channel_missing_from_worker
1+1 HD,,X1plus1,,,True,0,mapped_channel_missing_from_worker
1+1 Україна,,X1plus1-ukraina,,,True,0,mapped_channel_missing_from_worker
1+1 Україна HD,,X1plus1-ukraina,,,True,0,mapped_channel_missing_from_worker
2+2,,X2plus2,,,True,0,mapped_channel_missing_from_worker
2+2 HD,,X2plus2,,,True,0,mapped_channel_missing_from_worker
ICTV,,Xictv-ua,,,True,0,mapped_channel_missing_from_worker
ICTV HD,,Xictv-ua,,,True,0,mapped_channel_missing_from_worker
ICTV2,,Xictv-ukraine,,,True,0,mapped_channel_missing_from_worker
Ми - Україна,,Xmy-ukraina,,,True,0,mapped_channel_missing_from_worker
Ми - Україна+,,Xmy-ukraina-plus,,,True,0,mapped_channel_missing_from_worker
Новий канал,,Xnovy-kanal-ua,,,True,0,mapped_channel_missing_from_worker
Новий канал HD,,Xnovy-kanal-ua,,,True,0,mapped_channel_missing_from_worker
UA: Київ,,Xua-kyiv,,,True,0,mapped_channel_missing_from_worker
СТБ,,Xstb-ua,,,True,0,mapped_channel_missing_from_worker
СТБ HD,,Xstb-ua,,,True,0,mapped_channel_missing_from_worker
Super+,,Xsuperplus,,,True,0,mapped_channel_missing_from_worker
Дизель Шоу,,X6147,,,True,0,mapped_channel_missing_from_worker
Интер,,Xinter-ua,,,True,0,mapped_channel_missing_from_worker
Интер HD,,Xinter-ua,,,True,0,mapped_channel_missing_from_worker
Интер+,,Xinter-plus-ua,,,True,0,mapped_channel_missing_from_worker
Интер+ HD,,Xinter-plus-ua,,,True,0,mapped_channel_missing_from_worker
ТЕТ,,Xtet-ua,,,True,0,mapped_channel_missing_from_worker
ТЕТ HD,,Xtet-ua,,,True,0,mapped_channel_missing_from_worker
К1,,Xk1-ua,,,True,0,mapped_channel_missing_from_worker
К1 HD,,Xk1-ua,,,True,0,mapped_channel_missing_from_worker
К2,,Xk2-ua,,,True,0,mapped_channel_missing_from_worker
К2 HD,,Xk2-ua,,,True,0,mapped_channel_missing_from_worker
Армія TV HD,,Xarmia-tv-ua,,,True,0,mapped_channel_missing_from_worker
5 канал ПЕРШИЙ.УКРАЇНСЬКИЙ. ІНФОРМАЦІЙНИЙ,,X5kanal-ua,,,True,0,mapped_channel_missing_from_worker
FreeДОМ,,Xua-tv,,,True,0,mapped_channel_missing_from_worker
Перший Західний,,Xpershy-zaxidny,,,True,0,mapped_channel_missing_from_worker
ATR,,Xatr-ua,,,True,0,mapped_channel_missing_from_worker
Квартал ТВ,,Xkvartal-tv,,,True,0,mapped_channel_missing_from_worker
Мега HD,,Xmega-ua,,,True,0,mapped_channel_missing_from_worker
Мега,,Xmega-ua,,,True,0,mapped_channel_missing_from_worker
Enter-фільм,,Xenter-film,,,True,0,mapped_channel_missing_from_worker
Enter-фільм HD,,Xenter-film,,,True,0,mapped_channel_missing_from_worker
Рада,,Xrada-ua,,,True,0,mapped_channel_missing_from_worker
Бігуді,,Xbigudi,,,True,0,mapped_channel_missing_from_worker
Кус-кус,,Xkus-kus,,,True,0,mapped_channel_missing_from_worker
Zoom HD,,Xzoom-ua,,,True,0,mapped_channel_missing_from_worker
Дом,,Xdom,,,True,0,mapped_channel_missing_from_worker
UA:Культура,,Xkultura-ua,,,True,0,mapped_channel_missing_from_worker
UA:Одесcа,,Xua-odesa,,,True,0,mapped_channel_missing_from_worker
UA: Херсон,,Xua-xerson,,,True,0,mapped_channel_missing_from_worker
ТВА,,Xtva-ua,,,True,0,mapped_channel_missing_from_worker
Розпакуй.TV,,Xrozpakujtv,,,True,0,mapped_channel_missing_from_worker
Cine+ HD,,Xcine-plus,,,True,0,mapped_channel_missing_from_worker
Cine+ Hit HD,,Xcine-plus-hit-hd,,,True,0,mapped_channel_missing_from_worker
Cine+ Legend,,Xcine-plus-ledend,,,True,0,mapped_channel_missing_from_worker
